,country,Overall_GGGap_Ind_Index
0,Albania,0.7
1,Algeria,0.6211111111111111
2,Angola,0.64625
3,Argentina,0.73
4,Armenia,0.67
5,Australia,0.7311111111111112
6,Austria,0.7277777777777777
7,Azerbaijan,0.6733333333333333
8,Bahamas,0.7277777777777777
9,Bahrain,0.6288888888888889
10,Bangladesh,0.7
11,Barbados,0.7366666666666667
12,Belarus,0.7399999999999999
13,Belgium,0.7544444444444445
14,Belize,0.6644444444444445
15,Benin,0.6275
16,Bhutan,0.6457142857142858
17,Bolivia (Plurinational State of),0.7311111111111112
18,Bosnia and Herzegovina,0.7
19,Botswana,0.7022222222222223
20,Brazil,0.6855555555555556
21,Brunei Darussalam,0.6777777777777778
22,Bulgaria,0.7277777777777777
23,Burkina Faso,0.6422222222222222
24,Burundi,0.7466666666666666
25,Cabo Verde,0.7124999999999999
26,Cambodia,0.6633333333333334
27,Cameroon,0.66875
28,Canada,0.75
29,Chad,0.5722222222222223
30,Chile,0.6977777777777777
31,China,0.6811111111111111
32,Colombia,0.7177777777777777
33,Costa Rica,0.7355555555555555
34,Cote d'Ivoire,0.5988888888888888
35,Croatia,0.70875
36,Cuba,0.7422222222222222
37,Cyprus,0.6755555555555556
38,Czechia,0.6866666666666666
39,Democratic Republic of the Congo,0.58
40,Denmark,0.7777777777777778
41,Dominican Republic,0.6877777777777777
42,Ecuador,0.7288888888888888
43,Egypt,0.6055555555555556
44,El Salvador,0.6866666666666666
45,Estonia,0.7233333333333333
46,Eswatini,0.6759999999999999
47,Ethiopia,0.6422222222222222
48,Fiji,0.64375
49,Finland,0.8377777777777777
50,France,0.7477777777777779
51,Gambia,0.6571428571428573
52,Georgia,0.6822222222222223
53,Germany,0.7733333333333333
54,Ghana,0.6855555555555556
55,Greece,0.6855555555555556
56,Guatemala,0.6566666666666667
57,Guinea,0.6366666666666667
58,Guyana,0.706
59,Honduras,0.6955555555555555
60,Hungary,0.6711111111111111
61,Iceland,0.8677777777777778
62,India,0.6566666666666667
63,Indonesia,0.6766666666666666
64,Iran (Islamic Republic of),0.5844444444444444
65,Iraq,0.54
66,Ireland,0.7911111111111111
67,Israel,0.7088888888888889
68,Italy,0.7
69,Jamaica,0.7133333333333334
70,Japan,0.6566666666666667
71,Jordan,0.6044444444444443
72,Kazakhstan,0.7144444444444444
73,Kenya,0.6911111111111111
74,Kuwait,0.6355555555555555
75,Kyrgyzstan,0.6933333333333332
76,Lao People's Democratic Republic,0.7157142857142856
77,Latvia,0.76
78,Lebanon,0.6
79,Lesotho,0.7244444444444444
80,Liberia,0.6633333333333334
81,Lithuania,0.7322222222222222
82,Luxembourg,0.7266666666666667
83,Madagascar,0.7
84,Malawi,0.6922222222222223
85,Malaysia,0.6622222222222223
86,Maldives,0.6566666666666667
87,Mali,0.5888888888888889
88,Malta,0.6755555555555556
89,Mauritania,0.6077777777777778
90,Mauritius,0.6544444444444445
91,Mexico,0.6966666666666667
92,Mongolia,0.711111111111111
93,Montenegro,0.695
94,Morocco,0.5933333333333333
95,Mozambique,0.7344444444444443
96,Myanmar,0.68
97,Namibia,0.7477777777777779
98,Nepal,0.6422222222222222
99,Netherlands (Kingdom of the),0.7577777777777778
100,New Zealand,0.7855555555555556
101,Nicaragua,0.7811111111111111
102,Nigeria,0.6333333333333333
103,North Macedonia,0.701111111111111
104,Norway,0.84
105,Oman,0.6025
106,Pakistan,0.5544444444444445
107,Panama,0.7177777777777777
108,Papua New Guinea,0.64
109,Paraguay,0.6766666666666666
110,Peru,0.6966666666666667
111,Philippines,0.7844444444444445
112,Poland,0.7177777777777777
113,Portugal,0.7244444444444444
114,Qatar,0.6322222222222222
115,Republic of Korea,0.6477777777777778
116,Republic of Moldova,0.73
117,Romania,0.6966666666666667
118,Russian Federation,0.6977777777777777
119,Rwanda,0.7983333333333333
120,Saudi Arabia,0.5888888888888889
121,Senegal,0.6811111111111111
122,Serbia,0.72
123,Sierra Leone,0.665
124,Singapore,0.7044444444444444
125,Slovakia,0.6877777777777778
126,Slovenia,0.7511111111111111
127,South Africa,0.7577777777777778
128,Spain,0.7477777777777779
129,Sri Lanka,0.69
130,Suriname,0.67
131,Sweden,0.8166666666666667
132,Switzerland,0.7711111111111112
133,Syrian Arab Republic,0.5722222222222222
134,Tajikistan,0.6622222222222223
135,Thailand,0.6977777777777777
136,Timor-Leste,0.6519999999999999
137,Togo,0.62
138,Trinidad and Tobago,0.7271428571428571
139,Tunisia,0.6385714285714286
140,Türkiye,0.6177777777777778
141,Uganda,0.711111111111111
142,Ukraine,0.701111111111111
143,United Arab Emirates,0.6455555555555557
144,United Kingdom of Great Britain and Northern Ireland,0.7544444444444445
145,United Republic of Tanzania,0.7066666666666666
146,United States of America,0.7322222222222222
147,Uruguay,0.6955555555555555
148,Vanuatu,0.64
149,Venezuela (Bolivarian Republic of),0.701111111111111
150,Viet Nam,0.6922222222222222
151,Yemen,0.50125
152,Zambia,0.6516666666666667
153,Zimbabwe,0.7071428571428572
