,country,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
0,El Salvador,64.54003990725,6.422222222222222
1,Honduras,62.198650599000004,2.6666666666666665
2,Venezuela (Bolivarian Republic of),52.14891812085715,2.488888888888889
3,Jamaica,43.042735368875,2.211111111111111
4,Belize,36.01599405657143,6.377777777777777
5,Lesotho,35.83653373825,81.72222222222223
6,Nigeria,34.524045903,3.8444444444444446
7,Bahamas,33.15169985928571,3.4555555555555557
8,South Africa,32.628571428571426,23.866666666666667
9,Guatemala,30.257357096,5.933333333333334
10,Colombia,29.446744584875,3.988888888888889
11,Trinidad and Tobago,29.008770764799998,9.777777777777779
12,Brazil,27.9300183525,6.022222222222222
13,Saint Vincent and the Grenadines,27.250170002666664,2.477777777777778
14,Mexico,21.67857604375,5.422222222222222
15,Saint Lucia,21.120892758375,8.11111111111111
16,Central African Republic,20.120400654,14.233333333333333
17,Guyana,17.8160297455,37.388888888888886
18,Dominican Republic,17.585016908857146,5.5888888888888895
19,Namibia,15.9797122115,10.61111111111111
20,South Sudan,13.9,3.677777777777778
21,Panama,13.1782773837625,3.344444444444444
22,Seychelles,12.982623509866665,7.977777777777778
23,Uganda,11.318663422142858,4.977777777777778
24,Eswatini,11.136637050257141,37.17777777777778
25,Antigua and Barbuda,11.061090402,0.25555555555555554
26,Russian Federation,10.601178466075,31.22222222222222
27,Costa Rica,10.5321266290375,6.844444444444445
28,Cabo Verde,9.889419177825,14.222222222222221
29,Nicaragua,9.617025750166666,4.622222222222223
30,Haiti,9.226107395557142,9.866666666666667
31,Barbados,9.16587804285,0.6
32,Paraguay,9.0791199950375,5.455555555555556
33,Iraq,9.033394992033335,3.9777777777777774
34,Kiribati,9.01219633705,29.58888888888889
35,Bolivia (Plurinational State of),8.98304859135,6.2444444444444445
36,Philippines,8.9816874419,2.322222222222222
37,Ecuador,8.8655387226,9.0
38,Ethiopia,8.7924785474,5.688888888888889
39,Uruguay,8.2624221781125,18.966666666666665
40,Grenada,7.991620144357142,0.9444444444444444
41,United Republic of Tanzania,7.829166323966667,4.311111111111111
42,Zimbabwe,7.4798997709,17.233333333333334
43,Mongolia,7.059847708725,20.133333333333333
44,Peru,7.001777303357143,2.9000000000000004
45,Afghanistan,6.667952120216666,4.033333333333333
46,Yemen,6.383589115733334,5.688888888888889
47,Kazakhstan,6.314394789750001,23.233333333333334
48,Argentina,6.302918104475,8.733333333333333
49,Suriname,5.9710539197,24.87777777777778
