,country,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
0,Lesotho,35.83653373825,81.72222222222223
1,Guyana,17.8160297455,37.388888888888886
2,Eswatini,11.136637050257141,37.17777777777778
3,Lithuania,5.7089221352875,33.34444444444445
4,Russian Federation,10.601178466075,31.22222222222222
5,Kiribati,9.01219633705,29.58888888888889
6,Republic of Korea,0.72017191319,29.166666666666668
7,Micronesia (Federated States of),,26.688888888888886
8,Belarus,3.2931177359875,26.233333333333334
9,Suriname,5.9710539197,24.87777777777778
10,South Africa,32.628571428571426,23.866666666666667
11,Kazakhstan,6.314394789750001,23.233333333333334
12,Ukraine,5.8765353250666665,22.244444444444444
13,Latvia,3.4558293320124998,21.11111111111111
14,Montenegro,2.8322664298625,20.855555555555554
15,Slovenia,0.7074893238825,20.433333333333334
16,Hungary,1.799419426057143,20.311111111111114
17,Mongolia,7.059847708725,20.133333333333333
18,Belgium,1.823103457242857,19.4
19,Botswana,,19.355555555555554
20,Japan,0.29301213386375,19.12222222222222
21,Uruguay,8.2624221781125,18.966666666666665
22,Vanuatu,,18.4
23,Estonia,3.3695484492125,17.577777777777776
24,Zimbabwe,7.4798997709,17.233333333333334
25,Croatia,0.9801977303975,16.788888888888888
26,Finland,1.579664108175,16.01111111111111
27,Austria,0.750735116195,15.855555555555554
28,Republic of Moldova,4.561157831825,15.844444444444443
29,France,1.303534175625,15.744444444444444
30,Poland,0.83493210106375,15.455555555555556
31,Solomon Islands,,15.233333333333333
32,Sri Lanka,2.7635819345375,15.033333333333335
33,Sweden,0.97736889348375,14.97777777777778
34,Switzerland,0.5861160879625,14.644444444444446
35,United States of America,4.8775566297125,14.622222222222222
36,Czechia,0.7833680967214286,14.399999999999999
37,Mozambique,3.5100775194,14.299999999999999
38,Central African Republic,20.120400654,14.233333333333333
39,Cabo Verde,9.889419177825,14.222222222222221
40,Serbia,1.31758163035,14.0
41,Cuba,5.343532585516667,13.988888888888889
42,India,3.4514166401749997,13.022222222222222
43,Germany,0.922857021465,13.0
44,Iceland,0.64329725454875,12.988888888888889
45,Samoa,3.1461051219,12.633333333333333
46,Portugal,0.95346696937,12.477777777777778
47,Slovakia,1.22915853878375,12.444444444444445
48,Australia,0.98546559095875,12.277777777777779
49,Canada,1.6446834400124999,12.177777777777777
50,Norway,0.77800271405875,12.122222222222222
51,New Zealand,0.9453292848614285,11.844444444444443
52,Eritrea,,11.677777777777777
53,Denmark,1.017086037555,11.633333333333333
54,Netherlands (Kingdom of the),0.71466521122875,11.466666666666667
55,Luxembourg,0.5370291084742858,11.255555555555555
56,Romania,1.3234016745875001,11.1
57,Ireland,0.9325657007325,10.677777777777777
58,Bosnia and Herzegovina,1.4115575428875,10.622222222222222
59,Namibia,15.9797122115,10.61111111111111
60,Bulgaria,1.5419188410375,10.399999999999999
61,Cote d'Ivoire,,10.077777777777778
62,Singapore,0.248958941115,9.899999999999999
63,Chile,3.3991647175625,9.88888888888889
64,Haiti,9.226107395557142,9.866666666666667
65,Democratic People's Republic of Korea,,9.855555555555556
66,Trinidad and Tobago,29.008770764799998,9.777777777777779
67,Georgia,1.9569945528733335,9.711111111111112
68,Cameroon,2.12011705135,9.711111111111112
69,Togo,,9.633333333333333
70,Fiji,2.2828832891,9.522222222222222
71,Kyrgyzstan,5.223595224275,9.488888888888889
72,North Macedonia,1.29930231460375,9.222222222222221
73,Djibouti,,9.18888888888889
74,Gabon,,9.100000000000001
75,Equatorial Guinea,,9.055555555555555
76,Ecuador,8.8655387226,9.0
77,Mauritius,2.2439604499375,8.977777777777778
78,Pakistan,5.7275127559,8.922222222222222
79,Uzbekistan,1.4157231217000001,8.777777777777779
80,Zambia,5.7619295707,8.766666666666667
81,Argentina,6.302918104475,8.733333333333333
82,Nepal,2.3029537764,8.722222222222221
83,China,0.6908786018099999,8.466666666666667
84,United Kingdom of Great Britain and Northern Ireland,1.0490673689949999,8.377777777777778
85,Thailand,3.885936084057143,8.18888888888889
86,Benin,1.1274974068,8.122222222222222
87,Saint Lucia,21.120892758375,8.11111111111111
88,Somalia,,8.022222222222222
89,Seychelles,12.982623509866665,7.977777777777778
90,Spain,0.6852290434975,7.922222222222222
91,Burkina Faso,0.8169848879642857,7.8999999999999995
92,Bahrain,0.43987863001000005,7.833333333333333
93,Morocco,1.41209682005,7.7666666666666675
94,Guinea-Bissau,3.2514514660000002,7.577777777777778
95,Viet Nam,1.5280509191,7.544444444444445
96,Congo,,7.377777777777778
97,Ghana,1.969941843742857,7.277777777777778
98,Italy,0.75577517693875,7.1
99,Guinea,,7.077777777777778
100,Chad,,7.0
101,Costa Rica,10.5321266290375,6.844444444444445
102,United Arab Emirates,0.6318772841785715,6.788888888888889
