,country,area,population,pop_per_km_sq
0,Macao ,30.0,660000.0,21657.6
1,Monaco,2.0,40000.0,19564.4
2,Singapore,719.0,5450000.0,7584.9
3,Hong Kong ,1110.0,7410000.0,6678.5
4,Gibraltar ,6.8,30000.0,4954.6
5,Holy See (Vatican City),0.4,0.0,2272.7
6,Bahrain,778.0,1750000.0,2247.2
7,Maldives,300.0,540000.0,1812.1
8,Malta,320.0,520000.0,1615.2
9,Saint Martin ,34.0,40000.0,1260.2
10,Bermuda ,53.0,60000.0,1200.5
11,Bangladesh,147630.0,166300000.0,1126.5
12,Guernsey ,78.0,70000.0,865.3
13,Jersey ,120.0,100000.0,854.1
14,Palestine,6020.0,4920000.0,817.7
15,St. Martin ,53.0,40000.0,737.6
16,Mayotte ,374.0,260000.0,685.9
17,Barbados,430.0,290000.0,669.1
18,Taiwan ,35980.0,23580000.0,655.4
19,Lebanon,10450.0,6770000.0,647.8
20,Mauritius,2040.0,1270000.0,620.6
21,Aruba ,179.0,110000.0,599.2
22,San Marino,61.0,30000.0,555.8
23,South Korea,100339.0,51740000.0,515.7
24,Nauru,21.0,10000.0,515.3
25,Rwanda,26340.0,13280000.0,504.0
26,Comoros,1861.0,890000.0,477.4
27,Tuvalu,26.0,10000.0,458.7
28,Burundi,27830.0,12260000.0,440.4
29,Israel,22070.0,9360000.0,424.3
30,India,3287259.0,1393410000.0,423.9
31,Netherlands,41543.0,17530000.0,422.1
32,Haiti,27750.0,11540000.0,415.9
33,Belgium,30530.0,11590000.0,379.6
34,Philippines,300000.0,111050000.0,370.2
35,Puerto Rico ,8870.0,3260000.0,367.9
36,Martinique ,1128.0,400000.0,350.2
37,Curacao,444.0,150000.0,343.2
38,Sri Lanka,65610.0,22160000.0,337.7
39,Japan,377970.0,125680000.0,332.5
40,Grenada,340.0,110000.0,332.4
41,Marshall Islands,181.0,60000.0,328.6
42,Guam ,540.0,170000.0,315.2
43,El Salvador,21040.0,6520000.0,309.8
44,Virgin Islands ,350.0,110000.0,302.5
45,Saint Lucia,620.0,180000.0,297.4
46,Vietnam,331230.0,98170000.0,296.4
47,Saint Vincent and the Grenadines,390.0,110000.0,285.3
48,Pakistan,796100.0,225200000.0,282.9
49,United Kingdom,243610.0,67330000.0,276.4
50,Qatar,11610.0,2930000.0,252.4
51,Luxembourg,2590.0,640000.0,246.7
52,Germany,357580.0,83130000.0,232.5
53,Nigeria,923770.0,211400000.0,228.8
54,Switzerland,41290.0,8700000.0,210.6
55,Italy,301340.0,59070000.0,196.0
56,China,9562910.0,1412360000.0,147.7
57,Indonesia,1913580.0,276360000.0,144.4
58,Denmark,42920.0,5860000.0,136.5
59,Thailand,513120.0,69950000.0,136.3
60,France,549087.0,67500000.0,122.9
61,Poland,312680.0,37780000.0,120.8
62,United Arab Emirates,83600.0,9990000.0,119.5
63,Portugal,92226.0,10300000.0,111.7
64,Turkey,785350.0,85040000.0,108.3
65,Egypt,1001450.0,104260000.0,104.1
66,Malaysia,330345.0,32780000.0,99.2
67,Cambodia,181040.0,16950000.0,93.6
68,Spain,505935.0,47330000.0,93.5
69,Greece,131960.0,10660000.0,80.8
70,Romania,238400.0,19120000.0,80.2
71,Brunei,5770.0,440000.0,76.5
72,Ukraine,603550.0,43810000.0,72.6
73,Ireland,70280.0,5030000.0,71.5
74,Ecuador,256370.0,17890000.0,69.8
75,Mexico,1964375.0,130259999.99999999,66.3
76,Afghanistan,652860.0,39840000.0,61.0
77,Cameroon,475440.0,27220000.0,57.3
78,South Africa,1219090.0,60040000.0,49.3
79,Iran,1745150.0,85030000.0,48.7
80,United States,9831510.0,331890000.0,33.8
81,Brazil,8515770.0,213990000.0,25.1
82,Sweden,447430.0,10420000.0,23.3
83,New Zealand,267710.0,5120000.0,19.1
84,Argentina,2780400.0,45810000.0,16.5
85,Saudi Arabia,2149690.0,35340000.0,16.4
86,Finland,338450.0,5540000.0,16.4
87,Norway,385203.0,5410000.0,14.0
88,Russia,17098250.0,143450000.0,8.4
89,Canada,9984670.0,38250000.0,3.8
90,Australia,7741220.0,25740000.0,3.3
