iso3c,country,adminregion,ParentLocationCode,ParentLocation,area,population,pop_per_km_sq,stability,rights,health,safety,costs,iq,education_expenditure_per_inhabitant,daily_max_temp
AFG,Afghanistan,South Asia,EMR,Eastern Mediterranean,652860.0,39840000.0,61.0,28.0,9.0,20.0,19.0,63.0,80.0,13.0,24.4
ALB,Albania,Europe & Central Asia (excluding high income),EUR,Europe,,,,58.0,43.0,64.0,84.0,57.0,84.0,55.0,21.2
DZA,Algeria,Middle East & North Africa (excluding high income),AFR,Africa,,,,35.0,24.0,61.0,97.0,55.0,82.0,109.0,26.5
AGO,Angola,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,27.0,24.0,10.0,55.0,53.0,,,
ATG,Antigua and Barbuda,,AMR,Americas,,,,,,,,,,,
ARG,Argentina,Latin America & Caribbean (excluding high income),AMR,Americas,2780400.0,45810000.0,16.5,41.0,44.0,79.0,78.0,41.0,90.0,278.0,23.9
ARM,Armenia,Europe & Central Asia (excluding high income),EUR,Europe,,,,36.0,51.0,70.0,93.0,57.0,92.0,32.0,14.8
AUS,Australia,,WPR,Western Pacific,7741220.0,25740000.0,3.3,86.0,92.0,87.0,100.0,23.0,99.0,,24.4
AUT,Austria,,EUR,Europe,,,,83.0,91.0,97.0,98.0,37.0,100.0,,13.1
AZE,Azerbaijan,Europe & Central Asia (excluding high income),EUR,Europe,,,,46.0,24.0,70.0,38.0,64.0,87.0,57.0,20.5
BHS,Bahamas,,AMR,Americas,,,,,,,,,,,
BHR,Bahrain,,EMR,Eastern Mediterranean,778.0,1750000.0,2247.2,59.0,45.0,61.0,92.0,72.0,83.0,401.0,32.6
BGD,Bangladesh,South Asia,SEAR,South-East Asia,147630.0,166300000.0,1126.5,43.0,26.0,44.0,74.0,61.0,77.0,9.0,29.8
BRB,Barbados,,AMR,Americas,430.0,290000.0,669.1,,,,,,,,
BLR,Belarus,Europe & Central Asia (excluding high income),EUR,Europe,,,,37.0,28.0,82.0,81.0,40.0,,,
BEL,Belgium,,EUR,Europe,30530.0,11590000.0,379.6,75.0,87.0,88.0,92.0,32.0,100.0,,14.8
BLZ,Belize,Latin America & Caribbean (excluding high income),AMR,Americas,,,,,,,,,,,
BEN,Benin,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
BTN,Bhutan,South Asia,SEAR,South-East Asia,,,,,,,,,,,
BOL,Bolivia (Plurinational State of),Latin America & Caribbean (excluding high income),AMR,Americas,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe & Central Asia (excluding high income),EUR,Europe,,,,47.0,38.0,69.0,86.0,70.0,,,
BWA,Botswana,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
BRA,Brazil,Latin America & Caribbean (excluding high income),AMR,Americas,8515770.0,213990000.0,25.1,37.0,45.0,63.0,60.0,44.0,83.0,223.0,30.7
BRN,Brunei Darussalam,,WPR,Western Pacific,,,,,,,,,,,
BGR,Bulgaria,Europe & Central Asia (excluding high income),EUR,Europe,,,,68.0,51.0,81.0,85.0,62.0,91.0,114.0,18.1
BFA,Burkina Faso,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
BDI,Burundi,Sub-Saharan Africa (excluding high income),AFR,Africa,27830.0,12260000.0,440.4,31.0,11.0,9.0,62.0,66.0,,,
CPV,Cabo Verde,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
KHM,Cambodia,East Asia & Pacific (excluding high income),WPR,Western Pacific,181040.0,16950000.0,93.6,56.0,19.0,28.0,68.0,66.0,88.0,7.0,32.5
CMR,Cameroon,Sub-Saharan Africa (excluding high income),AFR,Africa,475440.0,27220000.0,57.3,40.0,19.0,9.0,27.0,51.0,65.0,29.0,31.0
CAN,Canada,,AMR,Americas,9984670.0,38250000.0,3.8,85.0,92.0,78.0,97.0,37.0,101.0,,7.3
CAF,Central African Republic,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
TCD,Chad,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,46.0,12.0,0.0,31.0,49.0,65.0,10.0,35.4
CHL,Chile,,AMR,Americas,,,,66.0,79.0,68.0,87.0,54.0,89.0,210.0,18.4
CHN,China,East Asia & Pacific (excluding high income),WPR,Western Pacific,9562910.0,1412360000.0,147.7,69.0,37.0,67.0,90.0,38.0,104.0,27.0,19.0
COL,Colombia,Latin America & Caribbean (excluding high income),AMR,Americas,,,,47.0,46.0,62.0,30.0,46.0,82.0,128.0,30.2
COM,Comoros,Sub-Saharan Africa (excluding high income),AFR,Africa,1861.0,890000.0,477.4,,,,,,,,
COD,Democratic Republic of the Congo,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
COG,Congo,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
CRI,Costa Rica,Latin America & Caribbean (excluding high income),AMR,Americas,,,,69.0,69.0,64.0,73.0,46.0,86.0,216.0,28.7
CIV,Cote d'Ivoire,Sub-Saharan Africa (excluding high income),AFR,Africa,,,,,,,,,,,
HRV,Croatia,,EUR,Europe,,,,67.0,58.0,80.0,91.0,67.0,95.0,353.0,18.2
CUB,Cuba,Latin America & Caribbean (excluding high income),AMR,Americas,,,,,,,,,,,
CYP,Cyprus,,EUR,Europe,,,,67.0,68.0,77.0,93.0,53.0,,,
CZE,Czechia,,EUR,Europe,,,,78.0,73.0,90.0,93.0,49.0,99.0,387.0,12.8
DNK,Denmark,,EUR,Europe,42920.0,5860000.0,136.5,86.0,100.0,85.0,95.0,35.0,99.0,,12.5
DJI,Djibouti,Middle East & North Africa (excluding high income),EMR,Eastern Mediterranean,,,,,,,,,,,
