,country,iso3c,year,homicide_male,homicide_female,homicide_all
0,Afghanistan,AFG,1990,,,
1,Albania,ALB,1990,,,
2,Algeria,DZA,1990,,,
3,Angola,AGO,1990,,,
4,Antigua and Barbuda,ATG,1990,0.0,3.04562343911799,1.57908034360788
5,Argentina,ARG,1990,,,
6,Armenia,ARM,1990,9.02773728008839,1.24079586282089,5.0048649818173
7,Australia,AUS,1990,2.77597989296598,1.61469597995109,2.19380533895964
8,Austria,AUT,1990,1.3366090157445,0.996013398418599,1.15904598274011
9,Azerbaijan,AZE,1990,,,4.4292846530268
10,Bahamas,BHS,1990,,,16.6248582269035
11,Bahrain,BHR,1990,,,
12,Bangladesh,BGD,1990,,,
13,Barbados,BRB,1990,18.4745633376307,8.18619881300117,13.1341069579863
14,Belarus,BLR,1990,,,4.87125456380457
15,Belgium,BEL,1990,,,1.04093078351742
16,Belize,BLZ,1990,,,
17,Benin,BEN,1990,,,
18,Bhutan,BTN,1990,,,3.58139251703848
19,Bolivia (Plurinational State of),BOL,1990,,,
20,Bosnia and Herzegovina,BIH,1990,2.55904778280957,0.705803624698627,1.62427584831978
21,Botswana,BWA,1990,,,
22,Brazil,BRA,1990,35.942775969426,3.12819041865575,19.44255874481
23,Brunei Darussalam,BRN,1990,,,
24,Bulgaria,BGR,1990,4.07179679622495,1.17705754168714,2.58902555408141
25,Burkina Faso,BFA,1990,,,
26,Burundi,BDI,1990,,,
27,Cabo Verde,CPV,1990,,,
28,Cambodia,KHM,1990,,,
29,Cameroon,CMR,1990,,,
30,Canada,CAN,1990,3.07055917855055,1.69219361414197,2.37551123433317
31,Central African Republic,CAF,1990,,,
32,Chad,TCD,1990,,,
33,Chile,CHL,1990,,,
34,China,CHN,1990,,,
35,Colombia,COL,1990,138.159838315183,11.2464789701348,74.6287140955712
36,Comoros,COM,1990,,,
37,Democratic Republic of the Congo,COD,1990,,,
38,Congo,COG,1990,,,
39,Costa Rica,CRI,1990,6.98600631316344,1.77465687839132,4.40116665745799
40,Cote d'Ivoire,CIV,1990,,,
41,Croatia,HRV,1990,3.97439671240749,1.72127083561677,2.81100226285682
42,Cuba,CUB,1990,,,
43,Cyprus,CYP,1990,,,0.634115409004439
44,Czechia,CZE,1990,,,
45,Denmark,DNK,1990,0.631021323788084,0.958202626510055,0.796948503617417
