Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Afghanistan,AFG,..,..,3.4870927196315,6.59443908400367,4.02249785795131,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Albania,ALB,..,4.11688108231861,4.08457542468858,2.12777201167065,2.31196864129807,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Algeria,DZA,..,..,0.708382325710373,1.50512065521262,1.57318234314011,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,American Samoa,ASM,..,..,9.11585338061423,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Andorra,AND,..,..,0,2.57400257400257,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Angola,AGO,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Antigua and Barbuda,ATG,1.57908034360788,6.66178136033575,7.00157535445475,9.71250971250971,17.1637908377539,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Argentina,ARG,..,..,5.80046925893628,5.36681384363525,4.62267855620475,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Armenia,ARM,5.0048649818173,2.87200016032704,1.90069351554648,1.85343036991797,2.18561731238222,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Aruba,ABW,0,..,3.98638649013618,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Australia,AUS,2.19380533895964,1.90346358335012,1.04908593619237,0.860925458639047,0.744567483256587,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Austria,AUT,1.15904598274011,1.02366558792704,0.729418238732372,0.729699452512114,0.728529506902089,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Azerbaijan,AZE,4.4292846530268,2.75934921847538,2.23011241769356,2.23627706150472,1.91021189583004,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Bahamas, The",BHS,16.6248582269035,22.7682499830777,25.1827085878394,17.9594387306367,29.1734237464315,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bahrain,BHR,..,..,0.164792902699267,0,0.0683402977791795,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bangladesh,BGD,..,2.58759494598355,2.68749199813241,..,..,..,..
