Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Afghanistan,AFG,..,..,..,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Albania,ALB,..,0.81025710704556,0.756378938972253,0.62801731792644,0.839892073868508,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Algeria,DZA,..,..,..,0.572265754681445,0.737982718243572,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,American Samoa,ASM,..,..,..,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Andorra,AND,..,..,0,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Angola,AGO,..,..,..,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Antigua and Barbuda,ATG,3.04562343911799,..,..,2.06489980073717,10.2651487933318,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Argentina,ARG,..,..,..,1.63155592759331,1.34721740010006,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Armenia,ARM,1.24079586282089,1.54597497159619,0.630031391314072,1.03889593931289,0.91236416363903,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Aruba,ABW,0,..,0,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Australia,AUS,1.61469597995109,1.42005628456361,0.850072258402795,0.572231020488964,0.375382837826072,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Austria,AUT,0.996013398418599,1.29524372272807,0.769143366575477,0.817693020581223,0.882812880195781,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Azerbaijan,AZE,..,..,1.31612981837515,1.51710973312311,1.32088662504661,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,"Bahamas, The",BHS,..,9.89821226916848,6.74153224656376,5.18952376683942,2.81851576959573,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Bahrain,BHR,..,..,0.217559203298198,0,0.180304931700492,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Bangladesh,BGD,..,..,..,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Barbados,BRB,8.18619881300117,3.62852602016009,5.56833565927354,2.05247494270174,4.099312681907,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Belarus,BLR,..,..,2.60378026774902,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Belgium,BEL,..,1.58874839131855,1.25264419942712,..,0.187183877274082,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Belize,BLZ,..,..,10.023154263337,5.60908263453512,5.53318527870906,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Benin,BEN,..,..,..,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Bermuda,BMU,0,..,0,..,..,..,..
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,Bhutan,BTN,..,..,..,1.37703680957096,..,..,..
